Source	https://xdb.lbl.gov/Section1/Table_1-3.pdf
Caption	X-Ray Data Booklet Table 1-3. Photon energies and relative intensities of K-, L-, and M-shell lines shown in Fig. 1-1, arranged by increasing energy. An intensity of 100 is assigned to the strongest line in each shell for each element.
Energy (eV)	Z	Element	Line	Relative intensity
3604.7	51	Sb	La1	100
3636	54	Xe	Ll	4
3662.8	50	Sn	Lb1	60
3688.1	20	Ca	Ka2	50
3691.7	20	Ca	Ka1	100
3713.8	49	In	Lb2,15	15
3716.9	48	Cd	Lg1	6
3758.8	52	Te	La2	11
3769.3	52	Te	La1	100
3795	55	Cs	Ll	4
3843.6	51	Sb	Lb1	61
3904.9	50	Sn	Lb2,15	16
3920.8	49	In	Lg1	6
3926	53	I	La2	11
3937.6	53	I	La1	100
3954.1	56	Ba	Ll	4
4012.7	20	Ca	Kb1,3	13
4029.6	52	Te	Lb1	61
4086.1	21	Sc	Ka2	50
4090.6	21	Sc	Ka1	100
4093	54	Xe	La2	11
4100.8	51	Sb	Lb2,15	17
4109.9	54	Xe	La1	100
4124	57	La	Ll	4
4131.1	50	Sn	Lg1	7
4220.7	53	I	Lb1	61
4272.2	55	Cs	La2	11
4286.5	55	Cs	La1	100
4287.5	58	Ce	Ll	4
4301.7	52	Te	Lb2,15	18
4347.8	51	Sb	Lg1	8
4414	54	Xe	Lb1	60
4450.9	56	Ba	La2	11
4453.2	59	Pr	Ll	4
4460.5	21	Sc	Kb1,3	15
4466.3	56	Ba	La1	100
4504.9	22	Ti	Ka2	50
4507.5	53	I	Lb2,15	19
4510.8	22	Ti	Ka1	100
4570.9	52	Te	Lg1	8
4619.8	55	Cs	Lb1	61
4633	60	Nd	Ll	4
4634.2	57	La	La2	11
4651	57	La	La1	100
4714	54	Xe	Lb2,15	20
4800.9	53	I	Lg1	8
4809	61	Pm	Ll	4
4823	58	Ce	La2	11
4827.5	56	Ba	Lb1	60
4840.2	58	Ce	La1	100
4931.8	22	Ti	Kb1,3	15
4935.9	55	Cs	Lb2,15	20
4944.6	23	V	Ka2	50
4952.2	23	V	Ka1	100
4994.5	62	Sm	Ll	4
5013.5	59	Pr	La2	11
5033.7	59	Pr	La1	100
5034	54	Xe	Lg1	8
5042.1	57	La	Lb1	60
5156.5	56	Ba	Lb2,15	20
5177.2	63	Eu	Ll	4
5207.7	60	Nd	La2	11
5230.4	60	Nd	La1	100
5262.2	58	Ce	Lb1	61
5280.4	55	Cs	Lg1	8
5362.1	64	Gd	Ll	4
5383.5	57	La	Lb2,15	21
5405.5	24	Cr	Ka2	50
5408	61	Pm	La2	11
5414.7	24	Cr	Ka1	100
5427.3	23	V	Kb1,3	15
5432	61	Pm	La1	100
5488.9	59	Pr	Lb1	61
5531.1	56	Ba	Lg1	9
5546.7	65	Tb	Ll	4
5609	62	Sm	La2	11
5613.4	58	Ce	Lb2,15	21
5636.1	62	Sm	La1	100
5721.6	60	Nd	Lb1	60
5743.1	66	Dy	Ll	4
5788.5	57	La	Lg1	9
5816.6	63	Eu	La2	11
5845.7	63	Eu	La1	100
5850	59	Pr	Lb2,15	21
5887.6	25	Mn	Ka2	50
5898.8	25	Mn	Ka1	100
5943.4	67	Ho	Ll	4
5946.7	24	Cr	Kb1,3	15
5961	61	Pm	Lb1	61
6025	64	Gd	La2	11
6052	58	Ce	Lg1	9
6057.2	64	Gd	La1	100
6089.4	60	Nd	Lb2,15	21
6152	68	Er	Ll	4
6205.1	62	Sm	Lb1	61
6238	65	Tb	La2	11
6272.8	65	Tb	La1	100
6322.1	59	Pr	Lg1	9
6339	61	Pm	Lb2	21
6341.9	69	Tm	Ll	4
6390.8	26	Fe	Ka2	50
6403.8	26	Fe	Ka1	100
6456.4	63	Eu	Lb1	62
6457.7	66	Dy	La2	11
6490.4	25	Mn	Kb1,3	17
6495.2	66	Dy	La1	100
6545.5	70	Yb	Ll	4
6587	62	Sm	Lb2,15	21
6602.1	60	Nd	Lg1	10
6679.5	67	Ho	La2	11
6713.2	64	Gd	Lb1	62
6719.8	67	Ho	La1	100
6752.8	71	Lu	Ll	4
6843.2	63	Eu	Lb2,15	21
6892	61	Pm	Lg1	10
6905	68	Er	La2	11
6915.3	27	Co	Ka2	51
6930.3	27	Co	Ka1	100
6948.7	68	Er	La1	100
6959.6	72	Hf	Ll	5
6978	65	Tb	Lb1	61
7058	26	Fe	Kb1,3	17
7102.8	64	Gd	Lb2,15	21
7133.1	69	Tm	La2	11
7173.1	73	Ta	Ll	5
7178	62	Sm	Lg1	10
7179.9	69	Tm	La1	100
7247.7	66	Dy	Lb1	62
7366.7	65	Tb	Lb2,15	21
7367.3	70	Yb	La2	11
7387.8	74	W	Ll	5
7415.6	70	Yb	La1	100
7460.9	28	Ni	Ka2	51
7478.2	28	Ni	Ka1	100
7480.3	63	Eu	Lg1	10
7525.3	67	Ho	Lb1	64
7603.6	75	Re	Ll	5
7604.9	71	Lu	La2	11
7635.7	66	Dy	Lb2	20
7649.4	27	Co	Kb1,3	17
7655.5	71	Lu	La1	100
7785.8	64	Gd	Lg1	11
7810.9	68	Er	Lb1	64
7822.2	76	Os	Ll	5
7844.6	72	Hf	La2	11
7899	72	Hf	La1	100
7911	67	Ho	Lb2,15	20
8027.8	29	Cu	Ka2	51
8045.8	77	Ir	Ll	5
8047.8	29	Cu	Ka1	100
8087.9	73	Ta	La2	11
8101	69	Tm	Lb1	64
8102	65	Tb	Lg1	11
8146.1	73	Ta	La1	100
8189	68	Er	Lb2,15	20
8264.7	28	Ni	Kb1,3	17
8268	78	Pt	Ll	5
8335.2	74	W	La2	11
8397.6	74	W	La1	100
8401.8	70	Yb	Lb1	65
8418.8	66	Dy	Lg1	11
8468	69	Tm	Lb2,15	20
8493.9	79	Au	Ll	5
8586.2	75	Re	La2	11
8615.8	30	Zn	Ka2	51
8638.9	30	Zn	Ka1	100
8652.5	75	Re	La1	100
8709	71	Lu	Lb1	66
8721	80	Hg	Ll	5
8747	67	Ho	Lg1	11
8758.8	70	Yb	Lb2,15	20
8841	76	Os	La2	11
8905.3	29	Cu	Kb1,3	17
8911.7	76	Os	La1	100
8953.2	81	Tl	Ll	6
9022.7	72	Hf	Lb1	67
9048.9	71	Lu	Lb2	19
9089	68	Er	Lg1	11
9099.5	77	Ir	La2	11
9175.1	77	Ir	La1	100
9184.5	82	Pb	Ll	6
9224.8	31	Ga	Ka2	51
9251.7	31	Ga	Ka1	100
9343.1	73	Ta	Lb1	67
9347.3	72	Hf	Lb2	20
9361.8	78	Pt	La2	11
9420.4	83	Bi	Ll	6
9426	69	Tm	Lg1	12
9442.3	78	Pt	La1	100
9572	30	Zn	Kb1,3	17
9628	79	Au	La2	11
9651.8	73	Ta	Lb2	20
9672.4	74	W	Lb1	67
9713.3	79	Au	La1	100
9780.1	70	Yb	Lg1	12
9855.3	32	Ge	Ka2	51
9886.4	32	Ge	Ka1	100
9897.6	80	Hg	La2	11
9961.5	74	W	Lb2	21
9988.8	80	Hg	La1	100
10010	75	Re	Lb1	66
10143.4	71	Lu	Lg1	12
10172.8	81	Tl	La2	11
10260.3	31	Ga	Kb3	5
10264.2	31	Ga	Kb1	66
10268.5	81	Tl	La1	100
10275.2	75	Re	Lb2	22
10355.3	76	Os	Lb1	67
10449.5	82	Pb	La2	11
10508	33	As	Ka2	51
10515.8	72	Hf	Lg1	12
10543.7	33	As	Ka1	100
10551.5	82	Pb	La1	100
10598.5	76	Os	Lb2	22
10708.3	77	Ir	Lb1	66
10730.9	83	Bi	La2	11
10838.8	83	Bi	La1	100
10895.2	73	Ta	Lg1	12
10920.3	77	Ir	Lb2	22
10978	32	Ge	Kb3	6
10982.1	32	Ge	Kb1	60
11070.7	78	Pt	Lb1	67
11118.6	90	Th	Ll	6
11181.4	34	Se	Ka2	52
11222.4	34	Se	Ka1	100
11250.5	78	Pt	Lb2	23
11285.9	74	W	Lg1	13
11442.3	79	Au	Lb1	67
11584.7	79	Au	Lb2	23
11618.3	92	U	Ll	7
11685.4	75	Re	Lg1	13
11720.3	33	As	Kb3	6
11726.2	33	As	Kb1	13
11822.6	80	Hg	Lb1	67
11864	33	As	Kb2	1
11877.6	35	Br	Ka2	52
11924.1	80	Hg	Lb2	24
11924.2	35	Br	Ka1	100
12095.3	76	Os	Lg1	13
12213.3	81	Tl	Lb1	67
12271.5	81	Tl	Lb2	25
12489.6	34	Se	Kb3	6
12495.9	34	Se	Kb1	13
12512.6	77	Ir	Lg1	13
12598	36	Kr	Ka2	52
12613.7	82	Pb	Lb1	66
12622.6	82	Pb	Lb2	25
12649	36	Kr	Ka1	100
12652	34	Se	Kb2	1
12809.6	90	Th	La2	11
12942	78	Pt	Lg1	13
12968.7	90	Th	La1	100
12979.9	83	Bi	Lb2	25
13023.5	83	Bi	Lb1	67
13284.5	35	Br	Kb3	7
13291.4	35	Br	Kb1	14
13335.8	37	Rb	Ka2	52
13381.7	79	Au	Lg1	13
13395.3	37	Rb	Ka1	100
13438.8	92	U	La2	11
13469.5	35	Br	Kb2	1
13614.7	92	U	La1	100
13830.1	80	Hg	Lg1	14
14097.9	38	Sr	Ka2	52
14104	36	Kr	Kb3	7
14112	36	Kr	Kb1	14
14165	38	Sr	Ka1	100
14291.5	81	Tl	Lg1	14
14315	36	Kr	Kb2	2
14764.4	82	Pb	Lg1	14
14882.9	39	Y	Ka2	52
14951.7	37	Rb	Kb3	7
14958.4	39	Y	Ka1	100
14961.3	37	Rb	Kb1	14
15185	37	Rb	Kb2	2
15247.7	83	Bi	Lg1	14
15623.7	90	Th	Lb2	26
15690.9	40	Zr	Ka2	52
15775.1	40	Zr	Ka1	100
15824.9	38	Sr	Kb3	7
15835.7	38	Sr	Kb1	14
16084.6	38	Sr	Kb2	3
16202.2	90	Th	Lb1	69
16428.3	92	U	Lb2	26
16521	41	Nb	Ka2	52
16615.1	41	Nb	Ka1	100
16725.8	39	Y	Kb3	8
16737.8	39	Y	Kb1	15
17015.4	39	Y	Kb2	3
17220	92	U	Lb1	61
17374.3	42	Mo	Ka2	52
17479.3	42	Mo	Ka1	100
17654	40	Zr	Kb3	8
17667.8	40	Zr	Kb1	15
17970	40	Zr	Kb2	3
18250.8	43	Tc	Ka2	53
18367.1	43	Tc	Ka1	100
18606.3	41	Nb	Kb3	8
18622.5	41	Nb	Kb1	15
18953	41	Nb	Kb2	3
18982.5	90	Th	Lg1	16
19150.4	44	Ru	Ka2	53
19279.2	44	Ru	Ka1	100
19590.3	42	Mo	Kb3	8
19608.3	42	Mo	Kb1	15
19965.2	42	Mo	Kb2	3
20073.7	45	Rh	Ka2	53
20167.1	92	U	Lg1	15
20216.1	45	Rh	Ka1	100
20599	43	Tc	Kb3	8
20619	43	Tc	Kb1	16
21005	43	Tc	Kb2	4
21020.1	46	Pd	Ka2	53
21177.1	46	Pd	Ka1	100
21634.6	44	Ru	Kb3	8
21656.8	44	Ru	Kb1	16
21990.3	47	Ag	Ka2	53
22074	44	Ru	Kb2	4
22162.9	47	Ag	Ka1	100
22698.9	45	Rh	Kb3	8
22723.6	45	Rh	Kb1	16
22984.1	48	Cd	Ka2	53
23172.8	45	Rh	Kb2	4
23173.6	48	Cd	Ka1	100
23791.1	46	Pd	Kb3	8
23818.7	46	Pd	Kb1	16
24002	49	In	Ka2	53
24209.7	49	In	Ka1	100
24299.1	46	Pd	Kb2	4
24911.5	47	Ag	Kb3	9
24942.4	47	Ag	Kb1	16
25044	50	Sn	Ka2	53
25271.3	50	Sn	Ka1	100
25456.4	47	Ag	Kb2	4
26061.2	48	Cd	Kb3	9
26095.5	48	Cd	Kb1	17
26110.8	51	Sb	Ka2	54
26359.1	51	Sb	Ka1	100
26643.8	48	Cd	Kb2	4
27201.7	52	Te	Ka2	54
27237.7	49	In	Kb3	9
27275.9	49	In	Kb1	17
27472.3	52	Te	Ka1	100
27860.8	49	In	Kb2	5
28317.2	53	I	Ka2	54
28444	50	Sn	Kb3	9
28486	50	Sn	Kb1	17
28612	53	I	Ka1	100
29109.3	50	Sn	Kb2	5
29458	54	Xe	Ka2	54
29679.2	51	Sb	Kb3	9
29725.6	51	Sb	Kb1	18
29779	54	Xe	Ka1	100
30389.5	51	Sb	Kb2	5
30625.1	55	Cs	Ka2	54
30944.3	52	Te	Kb3	9
30972.8	55	Cs	Ka1	100
30995.7	52	Te	Kb1	18
31700.4	52	Te	Kb2	5
31817.1	56	Ba	Ka2	54
32193.6	56	Ba	Ka1	100
32239.4	53	I	Kb3	9
32294.7	53	I	Kb1	18
33034.1	57	La	Ka2	54
33042	53	I	Kb2	5
33441.8	57	La	Ka1	100
33562	54	Xe	Kb3	9
33624	54	Xe	Kb1	18
34278.9	58	Ce	Ka2	55
34415	54	Xe	Kb2	5
34719.7	58	Ce	Ka1	100
34919.4	55	Cs	Kb3	9
34986.9	55	Cs	Kb1	18
35550.2	59	Pr	Ka2	55
35822	55	Cs	Kb2	6
36026.3	59	Pr	Ka1	100
36304	56	Ba	Kb3	10
36378.2	56	Ba	Kb1	18
36847.4	60	Nd	Ka2	55
37257	56	Ba	Kb2	6
37361	60	Nd	Ka1	100
37720.2	57	La	Kb3	10
37801	57	La	Kb1	19
38171.2	61	Pm	Ka2	55
38724.7	61	Pm	Ka1	100
38729.9	57	La	Kb2	6
39170.1	58	Ce	Kb3	10
39257.3	58	Ce	Kb1	19
39522.4	62	Sm	Ka2	55
40118.1	62	Sm	Ka1	100
40233	58	Ce	Kb2	6
40652.9	59	Pr	Kb3	10
40748.2	59	Pr	Kb1	19
40901.9	63	Eu	Ka2	56
41542.2	63	Eu	Ka1	100
41773	59	Pr	Kb2	6
42166.5	60	Nd	Kb3	10
42271.3	60	Nd	Kb1	19
42308.9	64	Gd	Ka2	56
42996.2	64	Gd	Ka1	100
43335	60	Nd	Kb2	6
43713	61	Pm	Kb3	10
43744.1	65	Tb	Ka2	56
43826	61	Pm	Kb1	19
44481.6	65	Tb	Ka1	100
44942	61	Pm	Kb2	6
45207.8	66	Dy	Ka2	56
45289	62	Sm	Kb3	10
45413	62	Sm	Kb1	19
45998.4	66	Dy	Ka1	100
6578	62	Sm	Kb2	6
46699.7	67	Ho	Ka2	56
46903.6	63	Eu	Kb3	10
47037.9	63	Eu	Kb1	19
47546.7	67	Ho	Ka1	100
48221.1	68	Er	Ka2	56
48256	63	Eu	Kb2	6
48555	64	Gd	Kb3	10
48697	64	Gd	Kb1	20
49127.7	68	Er	Ka1	100
49772.6	69	Tm	Ka2	57
49959	64	Gd	Kb2	7
50229	65	Tb	Kb3	10
50382	65	Tb	Kb1	20
50741.6	69	Tm	Ka1	100
51354	70	Yb	Ka2	57
51698	65	Tb	Kb2	7
51957	66	Dy	Kb3	10
52119	66	Dy	Kb1	20
52388.9	70	Yb	Ka1	100
52965	71	Lu	Ka2	57
53476	66	Dy	Kb2	7
53711	67	Ho	Kb3	11
53877	67	Ho	Kb1	20
54069.8	71	Lu	Ka1	100
54611.4	72	Hf	Ka2	57
55293	67	Ho	Kb2	7
55494	68	Er	Kb3	11
55681	68	Er	Kb1	21
55790.2	72	Hf	Ka1	100
56277	73	Ta	Ka2	57
57210	68	Er	Kb2	7
57304	69	Tm	Kb3	11
57517	69	Tm	Kb1	21
57532	73	Ta	Ka1	100
57981.7	74	W	Ka2	58
59090	69	Tm	Kb2	7
59140	70	Yb	Kb3	11
59318.2	74	W	Ka1	100
59370	70	Yb	Kb1	21
59717.9	75	Re	Ka2	58
60980	70	Yb	Kb2	7
61050	71	Lu	Kb3	11
61140.3	75	Re	Ka1	100
61283	71	Lu	Kb1	21
61486.7	76	Os	Ka2	58
62970	71	Lu	Kb2	7
62980	72	Hf	Kb3	11
63000.5	76	Os	Ka1	100
63234	72	Hf	Kb1	22
63286.7	77	Ir	Ka2	58
64895.6	77	Ir	Ka1	100
64948.8	73	Ta	Kb3	11
64980	72	Hf	Kb2	7
65112	78	Pt	Ka2	58
65223	73	Ta	Kb1	22
66832	78	Pt	Ka1	100
66951.4	74	W	Kb3	11
66989.5	79	Au	Ka2	59
66990	73	Ta	Kb2	7
67244.3	74	W	Kb1	22
68803.7	79	Au	Ka1	100
68895	80	Hg	Ka2	59
68994	75	Re	Kb3	12
69067	74	W	Kb2	8
69310	75	Re	Kb1	22
70819	80	Hg	Ka1	100
70831.9	81	Tl	Ka2	60
71077	76	Os	Kb3	12
71232	75	Re	Kb2	8
71413	76	Os	Kb1	23
72804.2	82	Pb	Ka2	60
72871.5	81	Tl	Ka1	100
73202.7	77	Ir	Kb3	12
73363	76	Os	Kb2	8
73560.8	77	Ir	Kb1	23
74814.8	83	Bi	Ka2	60
74969.4	82	Pb	Ka1	100
75368	78	Pt	Kb3	12
75575	77	Ir	Kb2	8
75748	78	Pt	Kb1	23
77107.9	83	Bi	Ka1	100
77580	79	Au	Kb3	12
77850	78	Pt	Kb2	8
77984	79	Au	Kb1	23
79822	80	Hg	Kb3	12
80150	79	Au	Kb2	8
80253	80	Hg	Kb1	23
82118	81	Tl	Kb3	12
82515	80	Hg	Kb2	8
82576	81	Tl	Kb1	23
84450	82	Pb	Kb3	12
84910	81	Tl	Kb2	8
84936	82	Pb	Kb1	23
86834	83	Bi	Kb3	12
87320	82	Pb	Kb2	8
87343	83	Bi	Kb1	23
89830	83	Bi	Kb2	9
89953	90	Th	Ka2	62
93350	90	Th	Ka1	100
94665	92	U	Ka2	62
98439	92	U	Ka1	100
104831	90	Th	Kb3	12
105609	90	Th	Kb1	24
108640	90	Th	Kb2	9
110406	92	U	Kb3	13
111300	92	U	Kb1	24
114530	92	U	Kb2	9
